strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	lineage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
MT903339	MT903339	MT903339.1	MPXV-M3021_Delta	2018-XX-XX	Africa	Nigeria	Delta		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A	0.0	547.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
MK783030	MK783030	MK783030.1	MK783030	2017-11-30	Africa	Nigeria	Rivers		Homo sapiens	2019-07-24		Yinka-Ogunleye et al		hMPXV-1	A	6.0	552.0	0.0	good	good	good	good	good		False	Yinka-Ogunleye,A., Aruna,O., Dalhat,M., Ogoina,D., McCollum,A., Disu,Y., Mamadu,I., Akinpelu,A., Ahmad,A., Burga,J., Ndoreraho,A., Nkunzimana,E., Manneh,L., Mohammed,A., Adeoye,O., Tom-Aba,D., Silenou,B., Ipadeola,O., Saleh,M., Adeyemo,A., Nwadiutor,I., Aworabhi,N., Uke,P., John,D., Wakama,P., Reynolds,M., Mauldin,M., Doty,J., Wilkins,K., Musa,J., Khalakdina,A., Adedeji,A., Mba,N., Ojo,O., Krause,G., Ihekweazu,C., Mauldin,M.R., Li,Y., Gao,J.	NCEZID/DHCPP/PRB, Centers for Disease Control & Prevention (US CDC), USA
NC_063383	NC_063383	NC_063383.1	MPXV-M5312_HM12_Rivers	2018-08-XX	Africa	Nigeria	Rivers		Homo sapiens	2022-05-30		Mauldin et al		hMPXV-1	A	0.0	549.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Senkevich,T.G., Yutin,N., Wolf,Y.I., Koonin,E.V., Moss,B.	
MT903344	MT903344	MT903344.1	MPXV-UK_P2	2018-09-XX	Europe	United Kingdom	Great Britain		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A.1	0.0	559.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
OL504743	OL504743	OL504743.1	2102	2019-12-XX	Europe	United Kingdom				2022-07-06		Atkinson et al		hMPXV-1	A.1	652.0	533.0	6.0	good	good	good	good	good		False	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.	
MT903342	MT903342	MT903342.1	MPXV-Singapore	2019-05-XX	Asia	Singapore			Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A.1	0.0	560.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
OL504741	OL504741	OL504741.1	2091	2019-12-XX	Europe	United Kingdom				2022-07-06		Atkinson et al		hMPXV-1	A.1	777.0	532.0	4.0	good	good	good	good	good		False	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.	
MT250197	MT250197	MT250197.1	MT250197	2019-XX-XX	Asia	Singapore			Homo sapiens	2020-05-12		Yong et al		hMPXV-1	A.1	2465.0	543.0	31.0	good	mediocre	good	good	good	OPG047:483,OPG118:16-638,OPG153:370-371,OPG191:167-169	False	Yong,S.E.F., Ng,O.T., Ho,Z.J.M., Mak,T.M., Marimuthu,K., Vasoo,S., Yeo,T.W., Ng,Y.K., Cui,L., Ferdous,Z., Chia,P.Y., Aw,B.J.W., Manauis,C.M., Low,C.K.K., Chan,G., Peh,X., Lim,P.L., Chow,L.P.A., Chan,M., Lee,V.J.M., Lin,R.T.P., Heng,M.K.D., Leo,Y.S., Octavia,S., Chen,B.B.	
MT903341	MT903341	MT903341.1	MPXV-M5320_M15_Bayelsa	2018-08-14	Africa	Nigeria	Bayelsa State		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A.1	0.0	507.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
MT903345	MT903345	MT903345.1	MPXV-UK_P3	2018-09-XX	Europe	United Kingdom	Great Britain		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A.1	2.0	560.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
MN648051	MN648051	MN648051.1	MN648051	2018-10-04	Asia	Israel			Homo sapiens	2019-12-07		Cohen Gihon et al		hMPXV-1	A.1	0.0	560.0	0.0	good	good	good	good	good		False	Cohen Gihon,I., Israeli,O., Shifman,O., Erez,N., Melamed,S., Paran,N., Beth-Din,A., Zvi,A.	Biochemistry & Molecular Genetics, Israel Institute for Biological Research, Israel
OL504742	OL504742	OL504742.1	2095	2019-12-XX	Europe	United Kingdom				2022-07-06		Atkinson et al		hMPXV-1	A.1	725.0	533.0	6.0	good	good	good	good	good		False	Atkinson,B., Pottage,T., Ngabo,D., Crook,A., Pitman,J., Summers,S., Pullan,S., Lewandowski,K., Furneaux,J., Davies,K., Brooks,T.	
MT903343	MT903343	MT903343.1	MPXV-UK_P1	2018-09-XX	Europe	United Kingdom	Great Britain		Homo sapiens	2020-09-15		Mauldin et al		hMPXV-1	A.1	2.0	560.0	0.0	good	good	good	good	good		False	Mauldin,M.R., McCollum,A.M., Nakazawa,Y.J., Mandra,A., Whitehouse,E.R., Davidson,W., Zhao,H., Gao,J., Li,Y., Doty,J., Yinka-Ogunleye,A., Akinpelu,A., Aruna,O., Naidoo,D., Lewandowski,K., Afrough,B., Graham,V., Aarons,E., Hewson,R., Vipond,R., Dunning,J., Chand,M., Brown,C., Cohen-Gihon,I., Erez,N., Shifman,O., Israeli,O., Sharon,M., Schwartz,E., Beth-Din,A., Zvi,A., Mak,T.M., Ng,Y.K., Cui,L., Lin,R.T.P., Olson,V.A., Brooks,T., Paran,N., Ihekweazu,C., Reynolds,M.G., Nakazawa,Y.	National Center for Emerging and Zoonotic Infectious Diseases, Division of High Consequence Pathogens & Pathology, Centers for Disease Control & Prevention (US CDC), USA
ON853680	ON853680	ON853680.1	MPXV/Germany/2022/RKI097	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	291.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON929086	ON929086	ON929086.1	MPXV/Germany/2022/RKI131	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	0.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON682264	ON682264	ON682264.4	MPXV/Germany/2022/RKI05	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-06		Brinkmann et al		hMPXV-1	B.1	1519.0	600.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON803440	ON803440	ON803440.1	MpxV/human/CAN/UN-NML-2954/2022	2022-05-22	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	1194.0	604.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON808416	ON808416	ON808416.1	CVR_MPXV1d	2022-05-15	Europe	United Kingdom			Homo sapiens	2022-06-21		Filipe et al		hMPXV-1	B.1	0.0	605.0	1.0	good	good	good	good	good		False	Filipe,A., Tong,L., Vattipally,S.B., Maclean,A., Gunson,R., Holden,M.T.G., Barr,D., Ho,A., Palmarini,M., Rambaut,A., Robertson,D.L., Thomson,E.C.	
ON853667	ON853667	ON853667.1	MPXV/Germany/2022/RKI085	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	274.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON609725	ON609725	ON609725.2	SLO	2022-05-23	Europe	Slovenia			Homo sapiens	2022-05-26		Zakotnik et al		hMPXV-1	B.1	0.0	610.0	0.0	good	good	good	good	good		False	Zakotnik,S., Vlaj,D., Suljic,A., Zorec,T.M., Skubic,C., Rozman,D., Korva,M., Poljak,M., Avsic Zupanc,T.	Laboratory for Diagnostics of Zoonoses & WHO Centre, Institute of Microbiology & Immunology, Faculty of Medicine, University of Ljubljana, Slovenia
ON649722	ON649722	ON649722.1	Monkeypox/PT0022/2022	2022-05-19	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	4.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON803437	ON803437	ON803437.1	MpxV/human/CAN/UN-NML-2896/2022	2022-05-20	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	42.0	605.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON929091	ON929091	ON929091.1	MPXV/Germany/2022/RKI136	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	0.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
OX009124	OX009124	OX009124.1	Lesion	2022-05-22	Europe	Sweden			Homo sapiens	2022-06-01	ERR9784807, ERR9784808	Pettke et al		hMPXV-1	B.1	0.0	609.0	0.0	good	good	good	good	good	OPG044:149-150,OPG066:127-260,OPG092:347-372,OPG097:267-345,OPG109:207-796,OPG111:5-315,OPG113:393-743,OPG123:130-632,OPG178:57-205,OPG188:437-504,OPG189:3-562,OPG198:230-283	True	Pettke,A., Filen,F., Asgeirsson,H., Glans,H., Widgren,K., Muradrasoli,S., Helgesson,S., Karlberg,M.L., Walai,N., Bjerkner,A., Gourle,H., Lindsjo,O.K., Sonden,K.	
ON843182	ON843182	ON843182.1	Monkeypox/PT0044/2022	2022-05-30	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	1284.0	597.0	0.0	good	good	good	good	good	OPG023:526-661	False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON755247	ON755247	ON755247.1	MPXV/Germany/2022/RKI041	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	224.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON637939	ON637939	ON637939.1	MPXV/Germany/2022/RKI02	2022-05-XX	Europe	Germany			Homo sapiens	2022-05-31		Brinkmann et al		hMPXV-1	B.1	97.0	607.0	1.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON585035	ON585035	ON585035.1	Monkeypox/PT0009/2022	2022-05-15	Europe	Portugal			Homo sapiens	2022-05-24		Isidro et al		hMPXV-1	B.1	69.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON880528	ON880528	ON880528.1	MpxV/human/CAN/UN-NML-3147/2022	2022-05-27	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	3973.0	597.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON880538	ON880538	ON880538.1	MpxV/human/CAN/UN-NML-3336/2022	2022-06-01	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	148.0	607.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
